"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,275.60","2,268.00","2,279.70","2,258.05","806.97K","0.58%"
"05-11-2024","2,262.45","2,256.00","2,267.90","2,236.30","725.93K","0.72%"
"04-11-2024","2,246.20","2,283.00","2,287.00","2,230.90","963.16K","-1.58%"
"01-11-2024","2,282.30","2,292.90","2,292.95","2,268.35","121.61K","0.86%"
"31-10-2024","2,262.95","2,287.00","2,287.00","2,260.00","659.77K","-0.59%"
"30-10-2024","2,276.30","2,278.75","2,297.25","2,260.20","893.77K","0.39%"
"29-10-2024","2,267.40","2,280.00","2,285.80","2,260.75","929.83K","-0.20%"
"28-10-2024","2,272.05","2,270.95","2,319.00","2,256.05","875.57K","0.50%"
"25-10-2024","2,260.70","2,269.00","2,286.50","2,257.00","1.34M","0.09%"
"24-10-2024","2,258.65","2,339.00","2,340.00","2,216.00","2.96M","-2.94%"
"23-10-2024","2,327.15","2,350.05","2,374.90","2,320.10","707.26K","-0.98%"
"22-10-2024","2,350.25","2,354.50","2,385.00","2,340.05","967.13K","-0.19%"
"21-10-2024","2,354.65","2,360.00","2,374.00","2,333.00","748.70K","0.19%"
"18-10-2024","2,350.25","2,380.00","2,383.65","2,326.10","1.64M","-1.20%"
"17-10-2024","2,378.70","2,474.95","2,474.95","2,365.00","2.63M","-3.39%"
"16-10-2024","2,462.25","2,490.00","2,493.05","2,431.45","1.24M","-0.89%"
"15-10-2024","2,484.25","2,502.05","2,502.05","2,472.00","795.15K","-0.71%"
"14-10-2024","2,502.05","2,519.70","2,519.70","2,493.15","670.38K","-0.39%"
"11-10-2024","2,511.80","2,520.00","2,522.00","2,496.10","628.46K","-0.03%"
"10-10-2024","2,512.45","2,529.00","2,531.70","2,506.00","1.03M","-0.14%"
"09-10-2024","2,516.00","2,579.00","2,580.00","2,468.95","2.37M","-2.55%"
"08-10-2024","2,581.75","2,570.60","2,594.00","2,551.60","1.20M","0.31%"
